2025-07-02 21:28:31 | WARNING | logger | [Network Error] ReadTimeout on attempt 1. Retrying in 3s...
2025-07-02 21:28:41 | WARNING | logger | [Network Error] SSLError on attempt 2. Retrying in 3s...
2025-07-02 21:32:19 | ERROR | logger | [HTTP Error 400] 
2025-07-02 21:34:17 | ERROR | logger | [HTTP Error 400] 
2025-07-02 21:36:58 | ERROR | logger | [HTTP Error 400] 
2025-07-02 21:38:03 | ERROR | logger | [HTTP Error 400] 
2025-07-02 21:41:14 | ERROR | logger | [HTTP Error 400] 
2025-07-02 21:42:04 | ERROR | logger | [HTTP Error 400] 
2025-07-02 21:42:37 | ERROR | logger | [HTTP Error 400] 
2025-07-02 21:45:49 | ERROR | logger | [HTTP Error 400] 
2025-07-02 21:49:30 | ERROR | logger | [HTTP Error 400] 
2025-07-02 21:50:27 | ERROR | logger | [HTTP Error 400] 
2025-07-02 21:54:29 | ERROR | logger | [HTTP Error 400] 
2025-07-02 21:54:58 | ERROR | logger | [HTTP Error 400] 
